,Date,ASPI,Banks_finance_insurance,trend,seasonal,residual
1363,2013-09-10,5667.33,12434.57,9.485249801906887,-0.041936240613613826,-0.015077785468701713
1364,2013-09-11,5730.21,12441.07,9.485809449355418,-0.044749649459625895,-0.01230142443977933
1365,2013-09-12,5744.5,12436.22,9.486376346937611,-0.045087315745905056,-0.012920569593789753
1366,2013-09-13,5749.46,12418.53,9.486923833783257,-0.04787416619027851,-0.012104676598231667
1367,2013-09-16,5730.12,12420.16,9.487472077077255,-0.05209570911894452,-0.00830013010615354
1368,2013-09-17,5705.26,12390.98,9.487968693045232,-0.05611149445498611,-0.0071331310497881675
1369,2013-09-18,5700.74,12390.98,9.488469200602868,-0.05713252507829309,-0.006612607984116829
1370,2013-09-20,5814.1,12648.7,9.488986243258104,-0.051272317452483375,0.007595796270756662
1371,2013-09-23,5782.85,12545.46,9.489531546895485,-0.053602751711323005,0.0011853309393242695
1372,2013-09-24,5794.47,12644.57,9.490074646921986,-0.04863797289194209,0.0035464789600358343
1373,2013-09-25,5783.62,12528.27,9.490623341466474,-0.04965088547709768,-0.005229486266889731
1374,2013-09-26,5786.16,12551.08,9.49118097462781,-0.042181876924595296,-0.011437101068977218
1375,2013-09-27,5808.62,12673.68,9.491782643884754,-0.03195312110040447,-0.012546841759955928
1376,2013-09-30,5803.32,12625.99,9.492385616971422,-0.02792671000422409,-0.020946240056415207
1377,2013-10-01,5780.83,12641.62,9.492988817746756,-0.02512207305260652,-0.023116920648713377
1378,2013-10-02,5805.62,12622.0,9.493600900335757,-0.008562681581334955,-0.04184161661023637
1379,2013-10-03,5814.8,12633.03,9.49422756078621,-0.004293670881913126,-0.04586379834423682
1380,2013-10-04,5837.95,12681.67,9.49482774348613,-0.00287836797530694,-0.044036452721715524
1381,2013-10-07,5867.1,12708.18,9.495362286122806,-0.007585645665412311,-0.03777548086234994
